id,ReadingTime,Lat,Lon,Elev,Speed,LapNumber,TrackLocation
208,7/13/2017 10:53:59 PM,35.700280,-78.675912,108.800000,23.855000,6,4
209,7/13/2017 10:54:00 PM,35.700075,-78.675828,109.300000,24.091000,6,3
210,7/13/2017 10:54:01 PM,35.699923,-78.675655,109.000000,24.199000,6,3
211,7/13/2017 10:54:02 PM,35.699877,-78.675410,108.600000,23.844000,6,3
212,7/13/2017 10:54:03 PM,35.699957,-78.675185,109.100000,23.191000,6,2
213,7/13/2017 10:54:04 PM,35.700122,-78.675048,110.000000,22.918000,6,2
214,7/13/2017 10:54:05 PM,35.700322,-78.675015,111.000000,23.011000,6,2
215,7/13/2017 10:54:06 PM,35.700528,-78.675040,110.900000,23.345000,6,1
216,7/13/2017 10:54:07 PM,35.700740,-78.675082,110.900000,24.513000,7,1
217,7/13/2017 10:54:08 PM,35.700953,-78.675133,109.600000,23.716000,7,6
218,7/13/2017 10:54:09 PM,35.701130,-78.675260,109.000000,25.120000,7,6
219,7/13/2017 10:54:10 PM,35.701173,-78.675523,109.900000,24.055000,7,6
220,7/13/2017 10:54:11 PM,35.701088,-78.675755,111.400000,23.119000,7,6
221,7/13/2017 10:54:12 PM,35.700918,-78.675898,112.600000,22.780000,7,5
222,7/13/2017 10:54:13 PM,35.700718,-78.675955,113.200000,22.955000,7,5
223,7/13/2017 10:54:14 PM,35.700507,-78.675955,113.500000,23.412000,7,5
224,7/13/2017 10:54:15 PM,35.700295,-78.675925,114.000000,23.608000,7,4
225,7/13/2017 10:54:16 PM,35.700087,-78.675853,115.000000,24.045000,7,3
226,7/13/2017 10:54:17 PM,35.699925,-78.675693,114.500000,24.554000,7,3
227,7/13/2017 10:54:18 PM,35.699862,-78.675452,114.200000,24.091000,7,3
228,7/13/2017 10:54:19 PM,35.699925,-78.675217,114.000000,23.191000,7,2
229,7/13/2017 10:54:20 PM,35.700082,-78.675070,114.700000,22.805000,7,2
230,7/13/2017 10:54:21 PM,35.700278,-78.675025,115.000000,22.774000,7,2
231,7/13/2017 10:54:22 PM,35.700483,-78.675043,114.700000,23.063000,7,2
232,7/13/2017 10:54:23 PM,35.700695,-78.675080,115.100000,24.081000,7,1
233,7/13/2017 10:54:24 PM,35.700908,-78.675137,114.600000,24.560000,8,1
234,7/13/2017 10:54:25 PM,35.701092,-78.675272,115.300000,24.369000,8,6
235,7/13/2017 10:54:26 PM,35.701158,-78.675520,115.700000,24.061000,8,6
236,7/13/2017 10:54:27 PM,35.701097,-78.675763,116.600000,23.335000,8,6
237,7/13/2017 10:54:28 PM,35.700940,-78.675918,116.400000,23.186000,8,5
238,7/13/2017 10:54:29 PM,35.700743,-78.675980,116.000000,22.383000,8,5
239,7/13/2017 10:54:30 PM,35.700537,-78.675980,115.800000,23.124000,8,5
240,7/13/2017 10:54:31 PM,35.700327,-78.675952,115.300000,23.402000,8,4
241,7/13/2017 10:54:32 PM,35.700120,-78.675893,115.800000,23.366000,8,4
242,7/13/2017 10:54:33 PM,35.699953,-78.675752,114.200000,24.369000,8,3
243,7/13/2017 10:54:34 PM,35.699870,-78.675515,113.800000,24.158000,8,3
244,7/13/2017 10:54:35 PM,35.699910,-78.675265,113.400000,23.901000,8,2
245,7/13/2017 10:54:36 PM,35.700050,-78.675092,114.600000,22.944000,8,2
246,7/13/2017 10:54:37 PM,35.700247,-78.675038,114.300000,23.052000,8,2
247,7/13/2017 10:54:38 PM,35.700448,-78.675058,115.100000,22.239000,8,2
248,7/13/2017 10:54:39 PM,35.700655,-78.675090,114.900000,22.414000,8,1
249,7/13/2017 10:54:40 PM,35.700868,-78.675135,114.300000,24.611000,9,1
250,7/13/2017 10:54:41 PM,35.701062,-78.675252,114.000000,24.575000,9,6
251,7/13/2017 10:54:42 PM,35.701155,-78.675487,113.400000,24.843000,9,6
252,7/13/2017 10:54:43 PM,35.701117,-78.675737,113.500000,23.284000,9,6
253,7/13/2017 10:54:44 PM,35.700975,-78.675908,113.100000,22.574000,9,5
254,7/13/2017 10:54:45 PM,35.700783,-78.675987,113.100000,22.419000,9,5
255,7/13/2017 10:54:46 PM,35.700578,-78.675998,112.900000,22.955000,9,5
